epoch,global_step,lr-AdamW,lr_abs,step,train/loss_epoch,train/loss_simple_epoch,train/loss_simple_step,train/loss_step,train/loss_vlb_epoch,train/loss_vlb_step,val/loss,val/loss_ema,val/loss_simple,val/loss_simple_ema,val/loss_vlb,val/loss_vlb_ema
0,,,,22,,,,,,,0.7971473932266235,0.7981856465339661,0.7971473932266235,0.7981856465339661,0.004050954710692167,0.029931675642728806
0,,,,22,0.7973813414573669,0.7973813414573669,,,0.004927539266645908,,,,,,,
1,,,,45,,,,,,,0.7918856739997864,0.7980661392211914,0.7918856739997864,0.7980661392211914,0.007937931455671787,0.007191267795860767
1,,,,45,0.7962074279785156,0.7962074279785156,,,0.004238133784383535,,,,,,,
,,2.94000906e-06,,49,,,,,,,,,,,,
2,49.0,,2.940009153462597e-06,49,,,0.7939246892929077,0.7939246892929077,,0.003916813991963863,,,,,,
2,,,,68,,,,,,,0.7861572504043579,0.7945189476013184,0.7861572504043579,0.7945189476013184,0.0032746456563472748,0.005964221898466349
2,,,,68,0.791900634765625,0.791900634765625,,,0.004316752310842276,,,,,,,
3,,,,91,,,,,,,0.7678204774856567,0.7795198559761047,0.7678204774856567,0.7795198559761047,0.004184265621006489,0.0035958769731223583
3,,,,91,0.7830529808998108,0.7830529808998108,,,0.003941271919757128,,,,,,,
,,5.94000606e-06,,99,,,,,,,,,,,,
4,99.0,,5.940005848970031e-06,99,,,0.7619330883026123,0.7619330883026123,,0.005459360778331757,,,,,,
4,,,,114,,,,,,,0.7623929977416992,0.7679229974746704,0.7623929977416992,0.7679229974746704,0.004572554025799036,0.003572701243683696
4,,,,114,0.771436333656311,0.771436333656311,,,0.005117686465382576,,,,,,,
5,,,,137,,,,,,,0.7493351101875305,0.7607625722885132,0.7493351101875305,0.7607625722885132,0.0037585392128676176,0.004867779556661844
5,,,,137,0.7572250366210938,0.7572250366210938,,,0.006023077294230461,,,,,,,
,,8.94000306e-06,,149,,,,,,,,,,,,
6,149.0,,8.940002771851141e-06,149,,,0.7599506974220276,0.7599506974220276,,0.026832716539502144,,,,,,
6,,,,160,,,,,,,0.7248255610466003,0.7379798889160156,0.7248255610466003,0.7379798889160156,0.004222925286740065,0.0034743049181997776
6,,,,160,0.7441743016242981,0.7441743016242981,,,0.005424723494797945,,,,,,,
7,,,,183,,,,,,,0.6903976202011108,0.7397481799125671,0.6903976202011108,0.7397481799125671,0.0034525063820183277,0.004536227788776159
7,,,,183,0.7091481685638428,0.7091481685638428,,,0.0037679129745811224,,,,,,,
,,1.1940000060000002e-05,,199,,,,,,,,,,,,
